# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
    90 -0.2911894687E+01  0.9863518919E-02 -0.1624886478E-01
    91 -0.2917486512E+01  0.9766206829E-02 -0.1607705911E-01
    92 -0.2923042145E+01  0.9670544154E-02 -0.1590880688E-01
    93 -0.2928563403E+01  0.9576493847E-02 -0.1574400976E-01
    94 -0.2934052041E+01  0.9484020422E-02 -0.1558257306E-01
    95 -0.2939509674E+01  0.9393088348E-02 -0.1542440486E-01
    96 -0.2944937877E+01  0.9303663815E-02 -0.1526941673E-01
    97 -0.2950338132E+01  0.9215713663E-02 -0.1511752309E-01
    98 -0.2955711880E+01  0.9129206080E-02 -0.1496864146E-01
    99 -0.2961060436E+01  0.9044109286E-02 -0.1482269168E-01
   100 -0.2966385090E+01  0.8960392953E-02 -0.1467959656E-01
   101 -0.2971687056E+01  0.8878027359E-02 -0.1453928135E-01
   102 -0.2976967512E+01  0.8796983926E-02 -0.1440167387E-01
   103 -0.2982227536E+01  0.8717234166E-02 -0.1426670401E-01
   104 -0.2987468183E+01  0.8638750834E-02 -0.1413430411E-01
   105 -0.2992690446E+01  0.8561507221E-02 -0.1400440861E-01
   106 -0.2997895290E+01  0.8485477618E-02 -0.1387695416E-01
   107 -0.3003083596E+01  0.8410636429E-02 -0.1375187918E-01
   108 -0.3008256228E+01  0.8336959123E-02 -0.1362912416E-01
   109 -0.3013413998E+01  0.8264421657E-02 -0.1350863142E-01
   110 -0.3018557697E+01  0.8193000847E-02 -0.1339034516E-01
   111 -0.3023688044E+01  0.8122673654E-02 -0.1327421107E-01
   112 -0.3028805745E+01  0.8053417940E-02 -0.1316017669E-01
   113 -0.3033911465E+01  0.7985212023E-02 -0.1304819106E-01
   114 -0.3039005849E+01  0.7918034962E-02 -0.1293820488E-01
   115 -0.3044089483E+01  0.7851865965E-02 -0.1283017014E-01
   116 -0.3049162947E+01  0.7786685030E-02 -0.1272404038E-01
   117 -0.3054226779E+01  0.7722472561E-02 -0.1261977050E-01
   118 -0.3059281508E+01  0.7659209600E-02 -0.1251731678E-01
   119 -0.3064327612E+01  0.7596877360E-02 -0.1241663664E-01
   120 -0.3069365560E+01  0.7535457730E-02 -0.1231768886E-01
   121 -0.3074395793E+01  0.7474932965E-02 -0.1222043336E-01
   122 -0.3079418737E+01  0.7415285853E-02 -0.1212483127E-01
   123 -0.3084434789E+01  0.7356499475E-02 -0.1203084476E-01
   124 -0.3089444323E+01  0.7298557315E-02 -0.1193843710E-01
   125 -0.3094447698E+01  0.7241443299E-02 -0.1184757260E-01
   126 -0.3099445739E+01  0.7185146204E-02 -0.1175821983E-01
   127 -0.3104437859E+01  0.7129642332E-02 -0.1167033892E-01
   128 -0.3109424785E+01  0.7074920548E-02 -0.1158389997E-01
   129 -0.3114406817E+01  0.7020966373E-02 -0.1149887118E-01
   130 -0.3119384228E+01  0.6967765508E-02 -0.1141522155E-01
   131 -0.3124357299E+01  0.6915304295E-02 -0.1133292103E-01
   132 -0.3129326253E+01  0.6863568795E-02 -0.1125194019E-01
   133 -0.3134291331E+01  0.6812545840E-02 -0.1117225053E-01
   134 -0.3139252753E+01  0.6762222409E-02 -0.1109382428E-01
   135 -0.3144210746E+01  0.6712586050E-02 -0.1101663454E-01
   136 -0.3149165487E+01  0.6663624094E-02 -0.1094065488E-01
   137 -0.3154117170E+01  0.6615324536E-02 -0.1086585976E-01
   138 -0.3159065971E+01  0.6567675499E-02 -0.1079222424E-01
   139 -0.3164012071E+01  0.6520665630E-02 -0.1071972412E-01
   140 -0.3168955611E+01  0.6474283384E-02 -0.1064833570E-01
   141 -0.3173896746E+01  0.6428517798E-02 -0.1057803597E-01
   142 -0.3178835615E+01  0.6383358046E-02 -0.1050880250E-01
   143 -0.3183772364E+01  0.6338793732E-02 -0.1044061352E-01
   144 -0.3188707103E+01  0.6294814330E-02 -0.1037344765E-01
   145 -0.3193639953E+01  0.6251409824E-02 -0.1030728418E-01
   146 -0.3198571025E+01  0.6208570313E-02 -0.1024210288E-01
   147 -0.3203500433E+01  0.6166286280E-02 -0.1017788410E-01
   148 -0.3208428262E+01  0.6124548124E-02 -0.1011460854E-01
   149 -0.3213354609E+01  0.6083346658E-02 -0.1005225749E-01
   150 -0.3218279559E+01  0.6042672825E-02 -0.9990812687E-02
   151 -0.3223203202E+01  0.6002517899E-02 -0.9930256346E-02
   152 -0.3228125600E+01  0.5962873105E-02 -0.9870571027E-02
   153 -0.3233046832E+01  0.5923730002E-02 -0.9811739803E-02
   154 -0.3237966958E+01  0.5885080308E-02 -0.9753746115E-02
   155 -0.3242886050E+01  0.5846916012E-02 -0.9696573861E-02
   156 -0.3247804156E+01  0.5809229052E-02 -0.9640207245E-02
   157 -0.3252721331E+01  0.5772011708E-02 -0.9584630905E-02
   158 -0.3257637624E+01  0.5735256354E-02 -0.9529829829E-02
   159 -0.3262553244E+01  0.5698956790E-02 -0.9475790189E-02
   160 -0.3267467917E+01  0.5663103346E-02 -0.9422496073E-02
   161 -0.3272381835E+01  0.5627690037E-02 -0.9369934305E-02
   162 -0.3277295035E+01  0.5592709852E-02 -0.9318091242E-02
   163 -0.3282207554E+01  0.5558156029E-02 -0.9266953580E-02
   164 -0.3287119415E+01  0.5524021765E-02 -0.9216508278E-02
   165 -0.3292030647E+01  0.5490300524E-02 -0.9166742633E-02
   166 -0.3296941273E+01  0.5456985862E-02 -0.9117644217E-02
   167 -0.3301851314E+01  0.5424071432E-02 -0.9069200890E-02
   168 -0.3306760804E+01  0.5391551244E-02 -0.9021400853E-02
   169 -0.3311669742E+01  0.5359419009E-02 -0.8974232435E-02
   170 -0.3316578148E+01  0.5327668875E-02 -0.8927684326E-02
   171 -0.3321486032E+01  0.5296294993E-02 -0.8881745447E-02
   172 -0.3326393422E+01  0.5265291805E-02 -0.8836405029E-02
   173 -0.3331300520E+01  0.5234654991E-02 -0.8791653407E-02
   174 -0.3336207644E+01  0.5204381204E-02 -0.8747481667E-02
   175 -0.3341113629E+01  0.5174457028E-02 -0.8703874181E-02
   176 -0.3346019149E+01  0.5144881857E-02 -0.8660824198E-02
   177 -0.3350924191E+01  0.5115650366E-02 -0.8618321971E-02
   178 -0.3355828764E+01  0.5086757522E-02 -0.8576358051E-02
   179 -0.3360732862E+01  0.5058198354E-02 -0.8534923154E-02
   180 -0.3365636499E+01  0.5029968080E-02 -0.8494008256E-02
   181 -0.3370539656E+01  0.5002061797E-02 -0.8453604422E-02
   182 -0.3375442336E+01  0.4974474833E-02 -0.8413702992E-02
   183 -0.3380344530E+01  0.4947202580E-02 -0.8374295452E-02
   184 -0.3385246241E+01  0.4920240618E-02 -0.8335373508E-02
   185 -0.3390147452E+01  0.4893584382E-02 -0.8296928978E-02
   186 -0.3395048158E+01  0.4867229563E-02 -0.8258953895E-02
   187 -0.3399948348E+01  0.4841171868E-02 -0.8221440446E-02
   188 -0.3404848021E+01  0.4815407184E-02 -0.8184381010E-02
   189 -0.3409747153E+01  0.4789931296E-02 -0.8147768058E-02
   190 -0.3414645740E+01  0.4764740184E-02 -0.8111594272E-02
   191 -0.3419543764E+01  0.4739829870E-02 -0.8075852456E-02
   192 -0.3424441221E+01  0.4715196520E-02 -0.8040535598E-02
   193 -0.3429338088E+01  0.4690836217E-02 -0.8005636771E-02
   194 -0.3434234352E+01  0.4666745233E-02 -0.7971149225E-02
   195 -0.3439129995E+01  0.4642919861E-02 -0.7937066335E-02
   196 -0.3444025009E+01  0.4619356521E-02 -0.7903381636E-02
   197 -0.3448919371E+01  0.4596051565E-02 -0.7870088750E-02
   198 -0.3453813064E+01  0.4573001531E-02 -0.7837181442E-02
   199 -0.3458706066E+01  0.4550202968E-02 -0.7804653597E-02
   200 -0.3463598369E+01  0.4527652519E-02 -0.7772499254E-02
   201 -0.3468489946E+01  0.4505346810E-02 -0.7740712516E-02
   202 -0.3473380779E+01  0.4483282582E-02 -0.7709287634E-02
   203 -0.3478270847E+01  0.4461456622E-02 -0.7678218959E-02
   204 -0.3483160133E+01  0.4439865807E-02 -0.7647500968E-02
   205 -0.3488048612E+01  0.4418506984E-02 -0.7617128214E-02
   206 -0.3492936263E+01  0.4397377111E-02 -0.7587095379E-02
   207 -0.3497823067E+01  0.4376473173E-02 -0.7557397242E-02
   208 -0.3502708995E+01  0.4355792214E-02 -0.7528028665E-02
   209 -0.3507594040E+01  0.4335331416E-02 -0.7498984668E-02
   210 -0.3512478162E+01  0.4315087810E-02 -0.7470260263E-02
   211 -0.3517361345E+01  0.4295058607E-02 -0.7441850636E-02
   212 -0.3522243562E+01  0.4275241043E-02 -0.7413751027E-02
   213 -0.3527124799E+01  0.4255632487E-02 -0.7385956807E-02
   214 -0.3532005020E+01  0.4236230143E-02 -0.7358463369E-02
   215 -0.3536884206E+01  0.4217031417E-02 -0.7331266234E-02
   216 -0.3541762329E+01  0.4198033709E-02 -0.7304360991E-02
   217 -0.3546639373E+01  0.4179234542E-02 -0.7277743343E-02
   218 -0.3551515301E+01  0.4160631318E-02 -0.7251409005E-02
   219 -0.3556390096E+01  0.4142221576E-02 -0.7225353835E-02
   220 -0.3561263723E+01  0.4124002907E-02 -0.7199573711E-02
   221 -0.3566136170E+01  0.4105972958E-02 -0.7174064656E-02
   222 -0.3571007398E+01  0.4088129303E-02 -0.7148822685E-02
   223 -0.3575877387E+01  0.4070469639E-02 -0.7123843938E-02
   224 -0.3580747513E+01  0.4052999127E-02 -0.7099129566E-02
   225 -0.3585615132E+01  0.4035701623E-02 -0.7074666551E-02
   226 -0.3590481365E+01  0.4018581041E-02 -0.7050455306E-02
   227 -0.3595346263E+01  0.4001635560E-02 -0.7026492490E-02
   228 -0.3600209792E+01  0.3984863047E-02 -0.7002774540E-02
   229 -0.3605071936E+01  0.3968261417E-02 -0.6979298005E-02
   230 -0.3609932657E+01  0.3951828544E-02 -0.6956059431E-02
   231 -0.3614791931E+01  0.3935562390E-02 -0.6933055469E-02
   232 -0.3619649732E+01  0.3919460926E-02 -0.6910282814E-02
   233 -0.3624506035E+01  0.3903522209E-02 -0.6887738228E-02
   234 -0.3629360805E+01  0.3887744227E-02 -0.6865418504E-02
   235 -0.3634214026E+01  0.3872125043E-02 -0.6843320529E-02
   236 -0.3639065656E+01  0.3856662781E-02 -0.6821441187E-02
   237 -0.3643915683E+01  0.3841355568E-02 -0.6799777491E-02
   238 -0.3648764066E+01  0.3826201536E-02 -0.6778326425E-02
   239 -0.3653610782E+01  0.3811198868E-02 -0.6757085071E-02
   240 -0.3658455800E+01  0.3796345763E-02 -0.6736050549E-02
